ACST,Power,Temperature,Relative Humidity,Cloud Cover,Shortwave Radiation,Wind Speed,Wind Direction,ghi
2017-10-18 16:17:00+08:00,2242.26950208,15.899534,55,100.0,354.22,13.959970000000002,221.90594,501.6164553759195
2017-10-18 16:27:00+08:00,2084.1607558399996,15.899534,55,100.0,354.22,13.959970000000002,221.90594,501.6164553759195
2017-10-18 16:37:00+08:00,2026.66666768,15.899534,55,100.0,354.22,13.959970000000002,221.90594,501.6164553759195
2017-10-18 16:47:00+08:00,1897.3049640000002,15.899534,55,100.0,354.22,13.959970000000002,221.90594,501.6164553759195
2017-10-18 16:57:00+08:00,1760.75649968,15.899534,55,100.0,354.22,13.959970000000002,221.90594,501.6164553759195
2017-10-18 17:07:00+08:00,1638.5815596800003,15.499535,56,64.0,245.64,14.038547,213.38852000000003,268.2033517882628
2017-10-18 17:17:00+08:00,1487.65957408,15.499535,56,64.0,245.64,14.038547,213.38852000000003,268.2033517882628
2017-10-18 17:27:00+08:00,1243.30969408,15.499535,56,64.0,245.64,14.038547,213.38852000000003,268.2033517882628
2017-10-18 17:37:00+08:00,984.5862897599999,15.499535,56,64.0,245.64,14.038547,213.38852000000003,268.2033517882628
2017-10-18 17:47:00+08:00,618.06146672,15.499535,56,64.0,245.64,14.038547,213.38852000000003,268.2033517882628
2017-10-18 17:57:00+08:00,409.64538992000007,15.499535,56,64.0,245.64,14.038547,213.38852000000003,268.2033517882628
2017-10-19 07:07:00+08:00,114.98817936,10.389534,59,0.0,177.11,13.731879999999999,108.08344,258.8848248642252
2017-10-19 07:17:00+08:00,122.17493999999999,10.389534,59,0.0,177.11,13.731879999999999,108.08344,258.8848248642252
2017-10-19 07:27:00+08:00,143.73522496,10.389534,59,0.0,177.11,13.731879999999999,108.08344,258.8848248642252
2017-10-19 07:37:00+08:00,208.41607679999998,10.389534,59,0.0,177.11,13.731879999999999,108.08344,258.8848248642252
2017-10-19 07:47:00+08:00,309.03073184,10.389534,59,0.0,177.11,13.731879999999999,108.08344,258.8848248642252
2017-10-19 07:57:00+08:00,431.20567487999995,10.389534,59,0.0,177.11,13.731879999999999,108.08344,258.8848248642252
2017-10-19 08:07:00+08:00,582.12766048,13.309534,51,0.0,393.38,16.823322,100.95405600000001,493.461376957401
2017-10-19 08:17:00+08:00,740.23640672,13.309534,51,0.0,393.38,16.823322,100.95405600000001,493.461376957401
2017-10-19 08:27:00+08:00,898.3451529599998,13.309534,51,0.0,393.38,16.823322,100.95405600000001,493.461376957401
2017-10-19 08:37:00+08:00,1006.1465716800001,13.309534,51,0.0,393.38,16.823322,100.95405600000001,493.461376957401
2017-10-19 08:47:00+08:00,1128.32151168,13.309534,51,0.0,393.38,16.823322,100.95405600000001,493.461376957401
2017-10-19 08:57:00+08:00,1236.1229304,13.309534,51,0.0,393.38,16.823322,100.95405600000001,493.461376957401
2017-10-19 09:07:00+08:00,1437.35224656,16.439535,44,0.6,592.74,18.164104000000002,94.20535,699.1216440825481
2017-10-19 09:17:00+08:00,1624.2080383999999,16.439535,44,0.6,592.74,18.164104000000002,94.20535,699.1216440825481
2017-10-19 09:27:00+08:00,1753.5697390399998,16.439535,44,0.6,592.74,18.164104000000002,94.20535,699.1216440825481
2017-10-19 09:37:00+08:00,1882.9314427199997,16.439535,44,0.6,592.74,18.164104000000002,94.20535,699.1216440825481
2017-10-19 09:47:00+08:00,1990.7328614399999,16.439535,44,0.6,592.74,18.164104000000002,94.20535,699.1216440825481
2017-10-19 09:57:00+08:00,2048.2269496,16.439535,44,0.6,592.74,18.164104000000002,94.20535,699.1216440825481
2017-10-19 10:07:00+08:00,2163.21512896,18.799534,41,8.700001,748.49,17.316,89.99999,858.3809835687517
2017-10-19 10:17:00+08:00,2263.8297870399997,18.799534,41,8.700001,748.49,17.316,89.99999,858.3809835687517
2017-10-19 10:27:00+08:00,2299.7635932800004,18.799534,41,8.700001,748.49,17.316,89.99999,858.3809835687517
2017-10-19 10:37:00+08:00,2522.5531913600003,18.799534,41,8.700001,748.49,17.316,89.99999,858.3809835687517
2017-10-19 10:47:00+08:00,2364.4444451199997,18.799534,41,8.700001,748.49,17.316,89.99999,858.3809835687517
2017-10-19 10:57:00+08:00,2608.79432512,18.799534,41,8.700001,748.49,17.316,89.99999,858.3809835687517
2017-10-19 11:07:00+08:00,2687.84870128,21.009535,37,12.3,857.9599599999999,15.184799,89.99999,959.4209137129425
